Time,Zeroed
324.8,-0.3
325,-0.25
325.2,-0.35
325.4,-0.15
325.6,-0.25
325.8,-0.35
326,-0.15
326.2,-0.25
326.4,-0.2
326.6,-0.25
326.8,-0.1
327,-0.25
327.2,-0.2
327.4,-0.3
327.6,-0.35
327.8,-0.25
328,-0.25
328.2,-0.25
328.4,-0.15
328.6,-0.35
328.8,-0.15
329,-0.1
329.2,0.1
329.4,-0.4
329.6,-0.35
329.8,-0.25
330,-0.25
330.2,-0.4
330.4,-0.3
330.6,-0.15
330.8,-0.25
331,-0.5
331.2,-0.4
331.4,-0.2
331.6,-0.4
331.8,-0.2
332,-0.25
332.2,-0.2
332.4,-0.3
332.6,-0.35
332.8,-0.4
333,-0.25
333.2,-0.3
333.4,-0.35
333.6,-0.25
333.8,-0.2
334,-0.35
334.2,-0.2
334.4,-0.25
334.6,-0.4
334.8,-0.4
335,-0.15
335.2,-0.1
335.4,-0.6
335.6,-0.2
335.8,-0.25
336,-0.05
336.2,-0.35
336.4,-0.1
336.6,-0.35
336.8,-0.3
337,-0.4
337.2,-0.2
337.4,-0.35
337.6,-0.35
337.8,-0.4
338,-0.2
338.2,-0.4
338.4,-0.05
338.6,-0.15
338.8,-0.35
339,-0.2
339.2,-0.4
339.4,-0.35
339.6,-0.45
339.8,-0.35
340,-0.4
340.2,-0.3
340.4,-0.05
340.6,-0.3
340.8,-0.3
341,-0.3
341.2,-0.25
341.4,0
341.6,-0.25
341.8,-0.5
342,-0.3
342.2,-0.25
342.4,-0.1
342.6,-0.3
342.8,-0.05
343,-0.25
343.2,-0.4
343.4,-0.1
343.6,-0.25
343.8,-0.15
344,-0.25
344.2,-0.25
344.4,-0.35
344.6,-0.2
344.8,-0.4
345,-0.1
345.2,-0.45
345.4,-0.2
345.6,-0.2
345.8,-0.2
346,-0.15
346.2,-0.25
346.4,-0.2
346.6,-0.25
346.8,-0.2
347,-0.25
347.2,-0.3
347.4,-0.15
347.6,-0.35
347.8,-0.3
348,-0.25
348.2,-0.15
348.4,-0.2
348.6,-0.25
348.8,-0.25
349,-0.45
349.2,-0.2
349.4,-0.3
349.6,-0.3
349.8,-0.4
350,-0.35
350.2,-0.35
350.4,-0.35
350.6,-0.05
350.8,-0.2
351,-0.2
351.2,-0.3
351.4,-0.2
351.6,-0.35
351.8,-0.3
352,-0.2
352.2,-0.2
352.4,-0.25
352.6,-0.35
352.8,-0.15
353,-0.4
353.2,-0.3
353.4,-0.35
353.6,-0.25
353.8,-0.5
354,-0.25
354.2,-0.35
354.4,-0.4
354.6,-0.3
354.8,-0.35
355,-0.25
355.2,-0.35
355.4,-0.35
355.6,-0.35
355.8,-0.45
356,-0.3
356.2,-0.35
356.4,-0.35
356.6,-0.25
356.8,-0.4
357,-0.55
357.2,-0.2
357.4,-0.5
357.6,-0.35
357.8,-0.45
358,-0.4
358.2,-0.2
358.4,-0.45
358.6,-0.15
358.8,-0.2
359,-0.4
359.2,-0.2
359.4,-0.25
359.6,-0.3
359.8,-0.35
360,-0.1
360.2,-0.15
360.4,-0.25
360.6,-0.35
360.8,-0.25
361,-0.15
361.2,-0.1
361.4,-0.15
